date,number_of_homicides
2007-01-01,1.0
2007-01-02,3.0
2007-01-03,4.0
2007-01-04,4.0
2007-01-05,7.0
2007-01-06,7.0
2007-01-07,8.0
2007-01-08,10.0
2007-01-09,15.0
2007-01-10,15.0
2007-01-11,15.0
2007-01-12,15.0
2007-01-13,16.0
2007-01-14,16.0
2007-01-15,17.0
2007-01-16,17.0
2007-01-17,17.0
2007-01-18,18.0
2007-01-19,18.0
2007-01-20,20.0
2007-01-21,20.0
2007-01-22,21.0
2007-01-23,23.0
2007-01-24,24.0
2007-01-25,24.0
2007-01-26,24.0
2007-01-27,26.0
2007-01-28,26.0
2007-01-29,27.0
2007-01-30,27.0
2007-01-31,27.0
2007-02-01,26.0
2007-02-02,26.0
2007-02-03,26.0
2007-02-04,23.0
2007-02-05,23.0
2007-02-06,22.0
2007-02-07,20.0
2007-02-08,16.0
2007-02-09,16.0
2007-02-10,17.0
2007-02-11,19.0
2007-02-12,18.0
2007-02-13,18.0
2007-02-14,17.0
2007-02-15,17.0
2007-02-16,17.0
2007-02-17,17.0
2007-02-18,18.0
2007-02-19,19.0
2007-02-20,19.0
2007-02-21,20.0
2007-02-22,18.0
2007-02-23,18.0
2007-02-24,19.0
2007-02-25,19.0
2007-02-26,18.0
2007-02-27,19.0
2007-02-28,18.0
2007-03-01,18.0
2007-03-02,17.0
2007-03-03,17.0
2007-03-04,17.0
2007-03-05,18.0
2007-03-06,19.0
2007-03-07,19.0
2007-03-08,19.0
2007-03-09,20.0
2007-03-10,19.0
2007-03-11,21.0
2007-03-12,21.0
2007-03-13,23.0
2007-03-14,24.0
2007-03-15,25.0
2007-03-16,25.0
2007-03-17,27.0
2007-03-18,27.0
2007-03-19,26.0
2007-03-20,27.0
2007-03-21,25.0
2007-03-22,25.0
2007-03-23,23.0
2007-03-24,23.0
2007-03-25,23.0
2007-03-26,22.0
2007-03-27,24.0
2007-03-28,23.0
2007-03-29,22.0
2007-03-30,25.0
2007-03-31,26.0
2007-04-01,26.0
2007-04-02,26.0
2007-04-03,25.0
2007-04-04,24.0
2007-04-05,23.0
2007-04-06,23.0
2007-04-07,23.0
2007-04-08,23.0
2007-04-09,24.0
2007-04-10,22.0
2007-04-11,22.0
2007-04-12,19.0
2007-04-13,18.0
2007-04-14,17.0
2007-04-15,17.0
2007-04-16,15.0
2007-04-17,15.0
2007-04-18,17.0
2007-04-19,16.0
2007-04-20,16.0
2007-04-21,16.0
2007-04-22,18.0
2007-04-23,18.0
2007-04-24,17.0
2007-04-25,17.0
2007-04-26,16.0
2007-04-27,17.0
2007-04-28,17.0
2007-04-29,18.0
2007-04-30,20.0
2007-05-01,22.0
2007-05-02,22.0
2007-05-03,23.0
2007-05-04,23.0
2007-05-05,24.0
2007-05-06,25.0
2007-05-07,28.0
2007-05-08,28.0
2007-05-09,27.0
2007-05-10,28.0
2007-05-11,28.0
2007-05-12,29.0
2007-05-13,29.0
2007-05-14,30.0
2007-05-15,31.0
2007-05-16,32.0
2007-05-17,33.0
2007-05-18,31.0
2007-05-19,32.0
2007-05-20,31.0
2007-05-21,31.0
2007-05-22,32.0
2007-05-23,34.0
2007-05-24,34.0
2007-05-25,36.0
2007-05-26,38.0
2007-05-27,38.0
2007-05-28,38.0
2007-05-29,37.0
2007-05-30,35.0
2007-05-31,33.0
2007-06-01,33.0
2007-06-02,35.0
2007-06-03,37.0
2007-06-04,36.0
2007-06-05,37.0
2007-06-06,34.0
2007-06-07,33.0
2007-06-08,36.0
2007-06-09,36.0
2007-06-10,36.0
2007-06-11,36.0
2007-06-12,37.0
2007-06-13,38.0
2007-06-14,38.0
2007-06-15,38.0
2007-06-16,38.0
2007-06-17,40.0
2007-06-18,39.0
2007-06-19,41.0
2007-06-20,41.0
2007-06-21,39.0
2007-06-22,37.0
2007-06-23,38.0
2007-06-24,36.0
2007-06-25,33.0
2007-06-26,32.0
2007-06-27,33.0
2007-06-28,30.0
2007-06-29,30.0
2007-06-30,31.0
2007-07-01,32.0
2007-07-02,33.0
2007-07-03,32.0
2007-07-04,32.0
2007-07-05,30.0
2007-07-06,31.0
2007-07-07,33.0
2007-07-08,31.0
2007-07-09,30.0
2007-07-10,30.0
2007-07-11,28.0
2007-07-12,29.0
2007-07-13,27.0
2007-07-14,27.0
2007-07-15,30.0
2007-07-16,29.0
2007-07-17,29.0
2007-07-18,29.0
2007-07-19,28.0
2007-07-20,28.0
2007-07-21,27.0
2007-07-22,27.0
2007-07-23,26.0
2007-07-24,26.0
2007-07-25,26.0
2007-07-26,27.0
2007-07-27,28.0
2007-07-28,30.0
2007-07-29,29.0
2007-07-30,28.0
2007-07-31,27.0
2007-08-01,25.0
2007-08-02,28.0
2007-08-03,28.0
2007-08-04,28.0
2007-08-05,28.0
